worn,platform RMS,platform kur,platform fft total,platform rsf1,platform rsf2
0,0.21472711,3.044750731,2.981056674,0.375710882,0.074191064
0,0.215025378,3.000244914,3.120700346,0.380911199,0.079823294
0,0.206419703,2.952290019,3.637801969,0.378748846,0.080121781
0,0.212539716,2.995625181,3.917244196,0.379066214,0.085554169
0,0.221133986,3.005531381,4.92920841,0.359307227,0.069527485
0,0.231920823,2.97029106,5.19633937,0.358980525,0.094454217
0,0.217322593,3.013481547,4.489834282,0.315587348,0.113051578
0,0.221986096,3.043114205,4.801302343,0.321522885,0.118813282
0,0.216163465,3.118198513,3.119413279,0.31738592,0.117651258
0,0.21436377,3.151421747,3.147431891,0.312570588,0.112504684
0,0.222450295,3.237130467,3.036835189,0.316444373,0.115199138
0,0.219121107,3.178725451,3.068691997,0.317039605,0.103693369
0,0.209073876,3.165190698,3.076949804,0.327338905,0.099893149
0,0.207333205,3.074045835,3.235174542,0.315672707,0.100759067
0,0.198398481,3.103852476,3.63198185,0.315841506,0.09786796
0,0.202931871,3.1133502,3.934026398,0.31225926,0.09907415
0,0.217855963,3.135048536,5.174367916,0.315609388,0.106063596
0,0.226054701,3.101927084,5.489052565,0.309479127,0.106028336
0,0.218522772,3.01693474,4.687615945,0.345330255,0.120469598
0,0.224148046,3.046208216,4.896224523,0.350306079,0.106123946
0,0.208834408,3.009823276,3.617717054,0.355136803,0.096454409
0,0.209475686,3.038658963,3.834456171,0.346076908,0.086828265
0,0.222634271,3.176732838,3.269913523,0.342995032,0.097082397
0,0.218053748,3.134426697,3.411145031,0.339296428,0.086466759
0,0.224391155,3.181872269,3.178505223,0.339239477,0.092130058
0,0.221391453,3.138479117,3.169755345,0.342930082,0.085231013
0,0.210476444,3.188068024,3.21873034,0.338134914,0.095791771
0,0.209356353,3.12752768,3.260672659,0.329863215,0.088466487
0,0.197307088,3.129062008,3.74890987,0.320648727,0.082806849
0,0.202563456,3.043948004,4.078190072,0.323729312,0.082558687
0,0.218584966,3.0991015,5.284704696,0.327267371,0.084107158
0,0.225529449,3.068609299,5.602856459,0.318019429,0.089076233
0,0.220964064,2.95676644,4.817811962,0.339044096,0.109144709
0,0.224223135,2.983059713,4.987934896,0.336424624,0.118775124
0,0.206919778,2.949727546,3.791228277,0.335657184,0.09794475
0,0.208254796,2.978239471,3.852175757,0.329731247,0.096731756
0,0.221172647,3.162929882,3.28279267,0.314296257,0.116402681
0,0.218473979,3.060290751,3.420457339,0.31512244,0.113459503
0,0.225023908,3.212301537,3.177924637,0.321074139,0.107819971
0,0.223750911,3.13748787,3.248655151,0.319307778,0.10365867
0,0.209611011,3.143368705,3.168339482,0.312866514,0.091823991
0,0.208981035,3.017877698,3.342534452,0.309630523,0.106572134
0,0.198979169,3.079520609,3.866444487,0.318030719,0.096971315
0,0.201327415,3.079125039,4.217441201,0.298318728,0.107827613
